dest07_to_dest06	OFWF	          492.2        461.159           5473        1358	    dest07_to_dest06	  Basic	          492.2          461.146           55025      13912	
dest07_to_dest08	OFWF	          295.6        277.433           3135         733	    dest07_to_dest08	  Basic	          295.6          279.097           12758       3141	
dest07_to_dest09	OFWF	           1240        1167.38          52423       15519	    dest07_to_dest09	  Basic	         1239.2          1166.71          222849      52516	
dest08_to_dest01	OFWF	         1781.8        1682.37         135860       40690	    dest08_to_dest01	  Basic	           1781          1682.15          284117      66888	
dest08_to_dest02	OFWF	         1320.2         1285.2         123697       36520	    dest08_to_dest02	  Basic	         1319.6           1280.7          284980      68004	
dest08_to_dest03	OFWF	         1474.8        1430.73          98867       29870	    dest08_to_dest03	  Basic	         1473.6          1439.43          302054      71705	
dest08_to_dest04	OFWF	           1431           1375         102559       30864	    dest08_to_dest04	  Basic	           1431           1375.6          282339      66772	
dest08_to_dest05	OFWF	         1174.4        1098.94          37009       10725	    dest08_to_dest05	  Basic	         1174.4          1100.43          252553      60054	
dest08_to_dest06	OFWF	          787.4         737.48           9075        2236	    dest08_to_dest06	  Basic	          787.4          735.794           91447      21870	
dest08_to_dest07	OFWF	          295.6        276.968           3785         938	    dest08_to_dest07	  Basic	          295.6          276.968           18926       4611	
dest08_to_dest09	OFWF	         1447.6         1371.3         103605       31261	    dest08_to_dest09	  Basic	         1447.6           1371.3          280877      65975	
dest09_to_dest01	OFWF	          333.8        310.173          10466        3124	    dest09_to_dest01	  Basic	          333.8          310.173           22543       5354	
dest09_to_dest02	OFWF	          687.6        640.298          27358        8193	    dest09_to_dest02	  Basic	          687.6          640.298          162130      39288	
dest09_to_dest03	OFWF	           1258        1171.17          57143       17268	    dest09_to_dest03	  Basic	           1258          1171.17          282041      66843	
dest09_to_dest04	OFWF	         1385.8        1311.98          81663       24368	    dest09_to_dest04	  Basic	         1385.2          1311.98          279783      65909	
dest09_to_dest05	OFWF	         1465.2        1383.37          34117        9114	    dest09_to_dest05	  Basic	         1465.2          1383.46          281164      66630	
dest09_to_dest06	OFWF	         1597.4        1508.14          72835       20478	    dest09_to_dest06	  Basic	         1597.4          1509.58          287875      68194	
dest09_to_dest07	OFWF	           1240        1166.71          46103       13456	    dest09_to_dest07	  Basic	         1239.2          1170.91          274444      64505	
dest09_to_dest08	OFWF	         1447.6           1373          65952       19231	    dest09_to_dest08	  Basic	         1447.6             1373          271853      63914	
map8 m_to_um	    OFWF	         2206.8        2191.29        2040701      629446	    map8 m_to_um	      Basic	         2206.8          2191.29         3322086     776719	
map8 m_to_mr	    OFWF	           3234        3185.55        3223151    1.0164e+06    map8 m_to_mr	      Basic	           3234         3185.55            3322086    773389	
map1 bl_to_tr	    OFWF	         2369.2        2360.24         81554      21432	    map1 bl_to_tr	      Basic	         2369.2         2360.24            3373642    774357	
map1 tl_to_br	    OFWF	         2528.8        2554.07          9029       1849	    map1 tl_to_br	      Basic	         2528.8         2554.07            3341484    831373	
map1 bl_to_mr	    OFWF	         2061.2         1920.8        148378      37688	    map1 bl_to_mr	      Basic	         2061.2          1920.8            3378085    811099	
map2 bl_to_tr	    OFWF	         3218.8        3146.14       2054491     647992	    map2 bl_to_tr	      Basic	         3295.2         3220.59            3110172    734146	
map2 tl_to_br	    OFWF	         3368.2         3320.6       2389183     735128	    map2 tl_to_br	      Basic	         3368.2          3320.6            3116638    722290	
map2 ml_to_mr	    OFWF	         3045.2        2986.32       2633696     806547	    map2 ml_to_mr	      Basic	         3045.2         2986.32            3120191    735942	
map2 mr_to_ml	    OFWF	         3045.2        2988.38        890539     272758	    map2 mr_to_ml	      Basic	         3045.2         2988.38            1890196    444921	
map3 bl_to_tr	    OFWF	         2441.2        2416.86         95701      26835	    map3 bl_to_tr	      Basic	         2441.2         2427.22            3211227    740935	
map3 tl_to_br	    OFWF	           2938         2778.6       1728864     534036	    map3 tl_to_br	      Basic	           2938          2778.6            3260289    791818	
map3 tl_to_um	    OFWF	         1568.8        1497.09        376786     109798	    map3 tl_to_um	      Basic	         1568.8         1497.09            2773404    639862	
map4 bl_to_tr	    OFWF	         2659.6        2479.68        904045     272060	    map4 bl_to_tr	      Basic	           2659         2479.68            3453392    804797	
map4 tl_to_br	    OFWF	         2857.6        2669.17       1038238     310898	    map4 tl_to_br	      Basic	         2857.6         2669.17            3465769    812115	
map4 ml_to_mr	    OFWF	           1956        1856.64        512233     149952	    map4 ml_to_mr	      Basic	           1956         1856.64            3277657    769123	
map4 ml_to_m	    OFWF	         1707.6        1629.45         235169       68346	    map4 ml_to_m	      Basic	         1707.6          1629.45         3272137     784460	
