dest09 to dest05  OFWF	         733        692.333        9645       2525.5
dest09 to dest05  Basic	         733        692.453       63273        15070
dest09 to dest06  OFWF	       802.6        756.569       14052       3807.5
dest09 to dest06  Basic	       802.6         757.37       64730        15516
dest09 to dest07  OFWF	       622.2        585.312       11624      3324.25
dest09 to dest07  Basic	       621.4        585.291       61643      14989.8
dest09 to dest08  OFWF	         731        691.208       15776         5215
dest09 to dest08  Basic	       729.4        688.861       61383      14982.5
map8 m to um      OFWF	      1107.6        1099.52      513600       153766
map8 m to um      Basic	      1106.8        1099.52      829600       187075
map8 m to mr      OFWF	      1622.2        1598.69      806395       241216
map8 m to mr      Basic	      1622.2        1598.69      829600       187944
map1 bl to tr     OFWF	      1184.8        1180.12       18711       4615.5
map1 bl to tr     Basic	      1184.8        1180.12      842936       189388
map1 tl to br     OFWF	      1264.6        1277.03        4514          896
map1 tl to br     Basic	      1264.6        1277.03      835371       205117
map1 bl to mr     OFWF	      1030.6        960.176       33896         7974
map1 bl to mr     Basic	      1030.6        960.176      843909       189465
map2 bl to tr     OFWF	      1610.2           1574      510591       151546
map2 bl to tr     Basic	      1649          1611.47      772030       174545
map2 tl to br     OFWF	      1687          1660.94      605624       179045
map2 tl to br     Basic	      1685.2        1660.94      773642       175470
map2 ml to mr     OFWF	      1525.4        1495.85      658410       195848
map2 ml to mr     Basic	      1525.4        1495.85      774584       175988
map2 mr to ml     OFWF	        1526        1496.36      223920      66712.5
map2 mr to ml     Basic	      1525.4        1496.36      468799       106770
map3 bl to tr     OFWF	       1222         1213.52       35313      9525.75
map3 bl to tr     Basic	       1222         1213.93      800865       180354
map3 tl to br     OFWF	      1470.4        1390.26      435988       127399
map3 tl to br     Basic	      1470.4        1390.26      813419       194220
map3 tl to um     OFWF	       787.2        751.467       94497      27630.5
map3 tl to um     Basic	       787.2        751.467      696242       156838
map4 bl to tr     OFWF	      1330.6        1240.47      230749        68419
map4 bl to tr     Basic	      1330.6        1240.47      862231       194299
map4 tl to br     OFWF	      1429.6        1334.98      248905      72244.8
map4 tl to br     Basic	      1429.6        1334.98      865333       198246
map4 ml to mr     OFWF	       979.4        929.335      131734      38079.5
map4 ml to mr     Basic	       979.4        929.335      818114       184774
map4 ml to m      OFWF	       857.6        817.823       63035      17911.2
map4 ml to m      Basic	       857.6        817.823      816695       183844
map4 m to ml      OFWF	       857.6        817.251      312871      94559.5
map4 m to ml      Basic	       857.6        817.251      733700       165860
map5 bl to tr     OFWF	        1300        1224.48      104878      30706.5
map5 bl to tr     Basic	        1300        1227.61      626283       141883
map5 tl to br     OFWF	      1349.2        1295.45       83158      24488.5
map5 tl to br     Basic	      1349.2        1295.54      625658       142041
map5 bl to mr     OFWF	      1030.6          961.6       40096      10009.8
map5 bl to mr     Basic	      1030.6        961.103      577703       131734
map5 bl to m      OFWF	       661.2        624.353       20027       5363.5
map5 bl to m      Basic	       661.2        626.871      601430       137147
map6 bl to tr     OFWF	        1342        1264.17      270685      79451.8
map6 bl to tr     Basic	      1341.4        1264.17      697984       158913
map6 tl to br     OFWF	      1689.4        1623.23      455156       135275
map6 tl to br     Basic	      1689.4        1623.23      729898       165066
map6 bl to mr     OFWF	      1022.2        953.265       20610      5023.25
map6 bl to mr     Basic	      1022.2        952.486      622204       141061
map6 bl to m      OFWF	       863.2        806.523      138024      40196.2
map6 bl to m      Basic	       863.2        806.523      578286       132052
map6 tl to cl     OFWF	      1478.6        1400.36      352253       104624
map6 tl to cl     Basic	      1478.6        1400.36      726168       164062
map6 m to um      OFWF	      1104.6         1071.7      168329      47941.5
map6 m to um      Basic	      1104.6         1071.7      464329       104348
big bl to tr      OFWF	      2737.2        2622.09      457763       135376
big bl to tr      Basic	      2733.6        2622.69      536832       122964
big tl to br      OFWF	       949.8    1.4822e-322       37599      10677.5
big tl to br      Basic	       949.8    1.4822e-322       37599      8889.25
