dest03 to dest09  OFWF	     306.684     286.282     2578   1470.7
dest03 to dest09  Basic	     306.684     286.282    12698   7126.3
dest04 to dest01  OFWF	     409.104     384.584     4441   2646.1
dest04 to dest01  Basic	     409.104     384.584    15285   8316.9
dest04 to dest02  OFWF	     228.882     216.229     2096   1239.3
dest04 to dest02  Basic	     228.882     216.229    13574  10796.3
dest04 to dest03  OFWF	     105.666     99.6876      796    453.1
dest04 to dest03  Basic	     105.666     99.6876     3632   1921.8
dest04 to dest05  OFWF	     101.392     93.9926      660    361.7
dest04 to dest05  Basic	     101.392     93.9926     2963     2882
dest04 to dest06  OFWF	     207.748     194.586     1887   1113.9
dest04 to dest06  Basic	     207.748     194.586     6014   4572.8
dest04 to dest07  OFWF	     292.824     284.095     3093   1817.1
dest04 to dest07  Basic	     292.824     284.095    15326   9011.3
dest04 to dest08  OFWF	     355.518     342.237     3322   1947.5
dest04 to dest08  Basic	     355.518     342.237    15368   9074.4
dest04 to dest09  OFWF	     344.308      325.15     2853   1636.1
dest04 to dest09  Basic	     344.308     325.137    15630  10017.7
dest05 to dest01  OFWF	     449.078     426.357     7879   5598.6
dest05 to dest01  Basic	     449.078     426.357    16735   9572.4
dest05 to dest02  OFWF	     303.022     288.283     5488   4606.5
dest05 to dest02  Basic	     303.022     288.283    16848  10562.4
dest05 to dest03  OFWF	     197.118      187.99     1989   1170.5
dest05 to dest03  Basic	     197.118      187.99     9035   6045.1
dest05 to dest04  OFWF	     101.392     95.5787      625    347.8
dest05 to dest04  Basic	     101.392     95.5787     3513   2148.6
dest05 to dest06  OFWF	     111.048     102.877      784    431.6
dest05 to dest06  Basic	     111.048     102.877     2891   1639.4
dest05 to dest07  OFWF	     226.366     210.913     1696    986.2
dest05 to dest07  Basic	     226.366     210.913    11818   6929.9
dest05 to dest08  OFWF	     298.614     277.997     2042   1196.2
dest05 to dest08  Basic	     298.614     277.997    12133     6981
dest05 to dest09  OFWF	     368.384     349.792     5071   4010.4
dest05 to dest09  Basic	     368.384     349.792    16379   9836.3
dest06 to dest01  OFWF	     485.358     458.655    10501   7569.9
dest06 to dest01  Basic	     485.358     458.655    18144  10774.9
dest06 to dest02  OFWF	     339.302     320.594     7141   4255.8
dest06 to dest02  Basic	     339.302     320.594    18085  11660.1
dest06 to dest03  OFWF	     303.474     288.388     4414   2642.4
dest06 to dest03  Basic	     303.474     288.388    16800  10492.3
dest06 to dest04  OFWF	     207.748     194.869     1715    999.8
dest06 to dest04  Basic	     207.748     194.869     9574   5476.2
dest06 to dest05  OFWF	     111.048     103.745      733    410.8
dest06 to dest05  Basic	     111.048     103.621     3601   2226.8
dest06 to dest07  OFWF	     121.118     112.254      568    340.6
dest06 to dest07  Basic	     121.118     112.254     2498   1405.5
dest06 to dest08  OFWF	     193.366      179.36      970    544.5
dest06 to dest08  Basic	     193.366      179.36     3583   2133.7
dest06 to dest09  OFWF	     404.664     382.091     7784     6087
dest06 to dest09  Basic	     404.664     382.091    18144  11771.3
dest07 to dest01  OFWF	     391.034      369.84     4759   2802.1
dest07 to dest01  Basic	     391.034      369.84    14082   7723.1
dest07 to dest02  OFWF	     274.786     264.351     3512   1928.5
dest07 to dest02  Basic	     274.786     265.751    14933     8303
dest07 to dest03  OFWF	     312.002     306.089     2606   1550.8
dest07 to dest03  Basic	     310.588     305.772    15372   9643.4
